User,,
Number,202402221539,
Material,,
Sample,,
area,,
length,,
size,,
strainRate,,
samplingRate,2,
testManner,,
driveBox,1,
motorSpeed,,
maxMotorSpeed,,
motorLength,,
maxMotorLength,,
motorCircle,,
sensorBox,2,
weighForce,,
maxWeighForce,,
CurrentTime,2024-02-22-15:39:46,
more,,
time,stress,Theoretical displacement,Actual displacement,
9.127,-inf,0,42.9733,
9.158,-inf,0,42.3728,
9.189,-inf,0,42.3728,
9.22,-inf,0,42.0269,
9.252,-inf,0,42.0269,
9.283,-inf,0,42.0269,
9.321,-inf,0,41.5931,
9.348,-inf,0,41.5931,
9.379,-inf,0,41.5931,
9.409,-inf,0,41.2833,
9.445,-inf,0,41.2833,
9.471,-inf,0,41.2833,
9.507,-inf,0,40.9658,
9.534,-inf,0,40.9658,
9.57,-inf,0,40.6275,
9.599,-inf,0,40.6275,
9.63,-inf,0,40.1419,
9.66,-inf,0,40.1419,
9.69,-inf,0,40.1419,
9.72,-inf,0,39.6789,
9.757,-inf,0,39.6789,
9.787,-inf,0,39.6789,
9.819,-inf,0,39.6789,
9.852,-inf,0,39.3722,
9.888,-inf,0,39.3722,
9.918,-inf,0,39.3722,
9.948,-inf,0,39.0539,
9.981,-inf,0,39.0539,
10.01,-inf,0,39.0539,
10.037,-inf,0,38.5967,
10.068,-inf,0,38.5967,
10.096,-inf,0,38.5967,
10.128,-inf,0,38.0997,
10.158,-inf,0,38.0997,
10.198,-inf,0,37.4472,
10.232,-inf,0,37.4472,
10.26,-inf,0,37.4472,
10.289,-inf,0,37.4472,
10.319,-inf,0,37.1344,
10.349,-inf,0,37.1344,
10.381,-inf,0,37.1344,
10.41,-inf,0,37.1344,
10.447,-inf,0,36.5525,
10.475,-inf,0,36.09,
10.51,-inf,0,36.09,
10.536,-inf,0,36.09,
10.572,-inf,0,35.7458,
10.607,-inf,0,35.7458,
10.638,-inf,0,35.1153,
10.665,-inf,0,35.1153,
10.696,-inf,0,35.1153,
10.722,-inf,0,34.7906,
10.755,-inf,0,34.7906,
10.787,-inf,0,34.7906,
10.819,-inf,0,34.4783,
10.846,-inf,0,34.4783,
10.877,-inf,0,33.9789,
10.909,-inf,0,33.9789,
10.939,-inf,0,33.9789,
10.971,-inf,0,33.7056,
11.007,-inf,0,33.7056,
11.033,-inf,0,33.2525,
11.069,-inf,0,33.2525,
11.101,-inf,0,33.2525,
11.133,-inf,0,32.7914,
11.158,-inf,0,32.7914,
11.194,-inf,0,32.7914,
11.222,-inf,0,32.7914,
11.259,-inf,0,32.3217,
11.285,-inf,0,32.3217,
11.319,-inf,0,32.3217,
11.347,-inf,0,32.0256,
11.381,-inf,0,32.0256,
11.409,-inf,0,32.0256,
11.446,-inf,0,31.5086,
11.475,-inf,0,31.5086,
11.505,-inf,0,30.9286,
11.533,-inf,0,30.9286,
11.567,-inf,0,30.4511,
11.599,-inf,0,30.4511,
11.63,-inf,0,30.4511,
11.657,-inf,0,29.9717,
11.696,-inf,0,29.9717,
11.722,-inf,0,29.7794,
11.754,-inf,0,29.7794,
11.785,-inf,0,29.7794,
11.819,-inf,0,29.7794,
11.847,-inf,0,29.3417,
11.879,-inf,0,29.3417,
11.914,-inf,0,28.8608,
11.944,-inf,0,28.8608,
11.971,-inf,0,28.8608,
12.004,-inf,0,28.5278,
12.033,-inf,0,28.5278,
12.07,-inf,0,28.5278,
12.103,-inf,0,27.9581,
12.135,-inf,0,27.9581,
12.162,-inf,0,27.9581,
12.195,-inf,0,27.6106,
12.223,-inf,0,27.6106,
12.256,-inf,0,27.6106,
12.293,-inf,0,27.1528,
12.328,-inf,0,27.1528,
12.36,-inf,0,27.1528,
12.388,-inf,0,27.1528,
12.415,-inf,0,26.6958,
12.446,-inf,0,26.6958,
12.473,-inf,0,26.6958,
12.509,-inf,0,26.1894,
12.535,-inf,0,26.1894,
12.57,-inf,0,26.1894,
12.596,-inf,0,25.7453,
12.631,-inf,0,25.7453,
12.659,-inf,0,25.7453,
12.696,-inf,0,25.7453,
12.726,-inf,0,25.0619,
12.762,-inf,0,25.0619,
12.79,-inf,0,25.0619,
12.818,-inf,0,25.0619,
12.851,-inf,0,25.0619,
12.882,-inf,0,24.6344,
12.909,-inf,0,24.6344,
12.941,-inf,0,24.6344,
12.971,-inf,0,24.6344,
13.004,-inf,0,24.1658,
